Temporada,Jornada,Fecha,Equipo local,Goles local,Goles visita,Equipo visitante
08-09,Jornada 28,3/22/2009,Deportivo de La Coruña,1,1,Betis
08-09,Jornada 28,3/22/2009,Getafe,2,1,Recreativo de Huelva
08-09,Jornada 28,3/22/2009,Mallorca,2,0,Atlético de Madrid
08-09,Jornada 28,3/22/2009,Numancia,2,1,Sporting de Gijón
08-09,Jornada 28,3/22/2009,Osasuna,1,0,Espanyol
08-09,Jornada 28,3/22/2009,Racing de Santander,0,1,Valencia
08-09,Jornada 28,3/22/2009,Real Madrid,3,0,Almería
08-09,Jornada 29,4/4/2009,Athletic Club,2,1,Mallorca
08-09,Jornada 29,4/4/2009,Betis,3,3,Numancia
08-09,Jornada 29,4/4/2009,Recreativo de Huelva,0,1,Sevilla
08-09,Jornada 29,4/4/2009,Málaga,0,1,Real Madrid
08-09,Jornada 29,4/4/2009,Almería,3,0,Villarreal
08-09,Jornada 29,4/4/2009,Valladolid,0,1,Barcelona
08-09,Jornada 29,4/5/2009,Atlético de Madrid,2,4,Osasuna
08-09,Jornada 29,4/5/2009,Espanyol,3,1,Deportivo de La Coruña
08-09,Jornada 29,4/5/2009,Sporting de Gijón,0,2,Racing de Santander
08-09,Jornada 29,4/5/2009,Valencia,4,1,Getafe
08-09,Jornada 30,4/11/2009,Barcelona,2,0,Recreativo de Huelva
08-09,Jornada 30,4/11/2009,Villarreal,0,2,Málaga
08-09,Jornada 30,4/12/2009,Deportivo de La Coruña,1,2,Atlético de Madrid
08-09,Jornada 30,4/12/2009,Sporting de Gijón,2,3,Valencia
08-09,Jornada 30,4/12/2009,Mallorca,2,0,Almería
08-09,Jornada 30,4/12/2009,Numancia,0,0,Espanyol
08-09,Jornada 30,4/12/2009,Osasuna,2,1,Athletic Club
08-09,Jornada 30,4/12/2009,Racing de Santander,2,3,Betis
08-09,Jornada 30,4/12/2009,Real Madrid,2,0,Valladolid
08-09,Jornada 30,4/12/2009,Sevilla,0,1,Getafe
08-09,Jornada 31,4/18/2009,Athletic Club,0,1,Deportivo de La Coruña
08-09,Jornada 31,4/18/2009,Atlético de Madrid,3,0,Numancia
08-09,Jornada 31,4/18/2009,Getafe,0,1,Barcelona
08-09,Jornada 31,4/18/2009,Recreativo de Huelva,0,1,Real Madrid
08-09,Jornada 31,4/18/2009,Málaga,1,1,Mallorca
08-09,Jornada 31,4/19/2009,Betis,2,0,Sporting de Gijón
08-09,Jornada 31,4/19/2009,Espanyol,1,0,Racing de Santander
08-09,Jornada 31,4/19/2009,Almería,2,1,Osasuna
08-09,Jornada 31,4/19/2009,Valencia,3,1,Sevilla
08-09,Jornada 31,4/19/2009,Valladolid,0,0,Villarreal
08-09,Jornada 32,4/21/2009,Numancia,1,2,Athletic Club
08-09,Jornada 32,4/21/2009,Real Madrid,3,2,Getafe
08-09,Jornada 32,4/22/2009,Barcelona,4,0,Sevilla
08-09,Jornada 32,4/22/2009,Betis,1,2,Valencia
08-09,Jornada 32,4/22/2009,Deportivo de La Coruña,2,0,Almería
08-09,Jornada 32,4/22/2009,Osasuna,2,3,Málaga
08-09,Jornada 32,4/23/2009,Sporting de Gijón,0,3,Espanyol
08-09,Jornada 32,4/23/2009,Mallorca,2,0,Valladolid
08-09,Jornada 32,4/23/2009,Racing de Santander,5,1,Atlético de Madrid
08-09,Jornada 32,4/23/2009,Villarreal,2,1,Recreativo de Huelva
08-09,Jornada 33,4/25/2009,Málaga,1,1,Deportivo de La Coruña
08-09,Jornada 33,4/25/2009,Almería,2,1,Numancia
08-09,Jornada 33,4/25/2009,Valencia,2,2,Barcelona
08-09,Jornada 33,4/26/2009,Athletic Club,2,1,Racing de Santander
08-09,Jornada 33,4/26/2009,Atlético de Madrid,3,1,Sporting de Gijón
08-09,Jornada 33,4/26/2009,Espanyol,2,0,Betis
08-09,Jornada 33,4/26/2009,Getafe,1,2,Villarreal
08-09,Jornada 33,4/26/2009,Recreativo de Huelva,2,4,Mallorca
08-09,Jornada 33,4/26/2009,Sevilla,2,4,Real Madrid
08-09,Jornada 33,4/26/2009,Valladolid,0,0,Osasuna
08-09,Jornada 34,5/2/2009,Numancia,2,0,Málaga
08-09,Jornada 34,5/2/2009,Real Madrid,2,6,Barcelona
08-09,Jornada 34,5/2/2009,Villarreal,0,2,Sevilla
08-09,Jornada 34,5/3/2009,Betis,0,2,Atlético de Madrid
08-09,Jornada 34,5/3/2009,Deportivo de La Coruña,1,0,Valladolid
08-09,Jornada 34,5/3/2009,Espanyol,3,0,Valencia
08-09,Jornada 34,5/3/2009,Sporting de Gijón,1,1,Athletic Club
08-09,Jornada 34,5/3/2009,Mallorca,2,1,Getafe
08-09,Jornada 34,5/3/2009,Osasuna,1,2,Recreativo de Huelva
08-09,Jornada 34,5/3/2009,Racing de Santander,0,2,Almería
08-09,Jornada 35,5/9/2009,Athletic Club,1,0,Betis
08-09,Jornada 35,5/9/2009,Sevilla,3,1,Mallorca
08-09,Jornada 35,5/9/2009,Valencia,3,0,Real Madrid
08-09,Jornada 35,5/10/2009,Atlético de Madrid,3,2,Espanyol
08-09,Jornada 35,5/10/2009,Barcelona,3,3,Villarreal
08-09,Jornada 35,5/10/2009,Getafe,3,0,Osasuna
08-09,Jornada 35,5/10/2009,Recreativo de Huelva,1,2,Deportivo de La Coruña
08-09,Jornada 35,5/10/2009,Málaga,1,0,Racing de Santander
08-09,Jornada 35,5/10/2009,Almería,3,1,Sporting de Gijón
08-09,Jornada 35,5/10/2009,Valladolid,0,0,Numancia
08-09,Jornada 36,5/16/2009,Deportivo de La Coruña,1,1,Getafe
08-09,Jornada 36,5/16/2009,Osasuna,0,0,Sevilla
08-09,Jornada 36,5/16/2009,Villarreal,3,2,Real Madrid
08-09,Jornada 36,5/17/2009,Atlético de Madrid,1,0,Valencia
08-09,Jornada 36,5/17/2009,Betis,2,0,Almería
08-09,Jornada 36,5/17/2009,Espanyol,1,0,Athletic Club
08-09,Jornada 36,5/17/2009,Sporting de Gijón,2,1,Málaga
08-09,Jornada 36,5/17/2009,Mallorca,2,1,Barcelona
08-09,Jornada 36,5/17/2009,Numancia,1,0,Recreativo de Huelva
08-09,Jornada 36,5/17/2009,Racing de Santander,3,2,Valladolid
08-09,Jornada 37,5/23/2009,Athletic Club,1,4,Atlético de Madrid
08-09,Jornada 37,5/23/2009,Barcelona,0,1,Osasuna
08-09,Jornada 37,5/23/2009,Getafe,1,0,Numancia
08-09,Jornada 37,5/23/2009,Recreativo de Huelva,0,1,Racing de Santander
08-09,Jornada 37,5/23/2009,Málaga,1,1,Betis
08-09,Jornada 37,5/23/2009,Sevilla,1,0,Deportivo de La Coruña
08-09,Jornada 37,5/23/2009,Almería,0,3,Espanyol
08-09,Jornada 37,5/23/2009,Valladolid,1,2,Sporting de Gijón
08-09,Jornada 37,5/23/2009,Villarreal,3,1,Valencia
08-09,Jornada 37,5/24/2009,Real Madrid,1,3,Mallorca
08-09,Jornada 38,5/30/2009,Atlético de Madrid,3,0,Almería
08-09,Jornada 38,5/30/2009,Deportivo de La Coruña,1,1,Barcelona
08-09,Jornada 38,5/30/2009,Mallorca,2,3,Villarreal
08-09,Jornada 38,5/30/2009,Valencia,2,0,Athletic Club
08-09,Jornada 38,5/31/2009,Betis,1,1,Valladolid
08-09,Jornada 38,5/31/2009,Espanyol,3,0,Málaga
08-09,Jornada 38,5/31/2009,Sporting de Gijón,2,1,Recreativo de Huelva
08-09,Jornada 38,5/31/2009,Numancia,0,2,Sevilla
08-09,Jornada 38,5/31/2009,Osasuna,2,1,Real Madrid
08-09,Jornada 38,5/31/2009,Racing de Santander,1,1,Getafe
09-10,Jornada 1,8/29/2009,Real Madrid,3,2,Deportivo de La Coruña
09-10,Jornada 1,8/31/2009,Barcelona,3,0,Sporting de Gijón
09-10,Jornada 1,8/30/2009,Málaga,3,0,Atlético de Madrid
09-10,Jornada 1,8/30/2009,Valencia,2,0,Sevilla
09-10,Jornada 1,8/30/2009,Mallorca,2,0,Xerez
09-10,Jornada 1,8/30/2009,Almería,0,0,Valladolid
09-10,Jornada 1,8/30/2009,Racing de Santander,1,4,Getafe
09-10,Jornada 1,8/30/2009,Osasuna,1,1,Villarreal
09-10,Jornada 1,8/29/2009,Real Zaragoza,1,0,Tenerife
09-10,Jornada 1,8/30/2009,Athletic Club,1,0,Espanyol
09-10,Jornada 2,9/13/2009,Xerez,0,1,Athletic Club
09-10,Jornada 2,9/13/2009,Deportivo de La Coruña,1,0,Málaga
09-10,Jornada 2,9/12/2009,Espanyol,0,3,Real Madrid
09-10,Jornada 2,9/13/2009,Villarreal,1,1,Mallorca
09-10,Jornada 2,9/13/2009,Tenerife,2,1,Osasuna
09-10,Jornada 2,9/12/2009,Sevilla,4,1,Real Zaragoza
09-10,Jornada 2,9/13/2009,Valladolid,2,4,Valencia
09-10,Jornada 2,9/13/2009,Sporting de Gijón,1,0,Almería
09-10,Jornada 2,9/12/2009,Getafe,0,2,Barcelona
09-10,Jornada 2,9/12/2009,Atlético de Madrid,1,1,Racing de Santander
09-10,Jornada 3,9/19/2009,Deportivo de La Coruña,2,3,Espanyol
09-10,Jornada 3,9/20/2009,Real Madrid,5,0,Xerez
09-10,Jornada 3,9/20/2009,Athletic Club,3,2,Villarreal
09-10,Jornada 3,9/19/2009,Mallorca,4,0,Tenerife
09-10,Jornada 3,9/19/2009,Osasuna,0,2,Sevilla
09-10,Jornada 3,9/20/2009,Real Zaragoza,1,2,Valladolid
09-10,Jornada 3,9/20/2009,Valencia,2,2,Sporting de Gijón
09-10,Jornada 3,9/20/2009,Almería,1,0,Getafe
09-10,Jornada 3,9/19/2009,Barcelona,5,2,Atlético de Madrid
09-10,Jornada 3,9/19/2009,Málaga,1,2,Racing de Santander
09-10,Jornada 4,9/23/2009,Espanyol,2,1,Málaga
09-10,Jornada 4,9/23/2009,Xerez,0,3,Deportivo de La Coruña
09-10,Jornada 4,9/23/2009,Villarreal,0,2,Real Madrid
09-10,Jornada 4,9/23/2009,Tenerife,1,0,Athletic Club
09-10,Jornada 4,9/22/2009,Sevilla,2,0,Mallorca
09-10,Jornada 4,9/23/2009,Valladolid,1,2,Osasuna
09-10,Jornada 4,9/24/2009,Sporting de Gijón,1,1,Real Zaragoza
09-10,Jornada 4,9/23/2009,Getafe,3,1,Valencia
09-10,Jornada 4,9/23/2009,Atlético de Madrid,2,2,Almería
09-10,Jornada 4,9/22/2009,Racing de Santander,1,4,Barcelona
09-10,Jornada 5,9/27/2009,Espanyol,0,0,Xerez
09-10,Jornada 5,9/27/2009,Deportivo de La Coruña,1,0,Villarreal
09-10,Jornada 5,9/26/2009,Real Madrid,3,0,Tenerife
09-10,Jornada 5,9/26/2009,Athletic Club,0,4,Sevilla
09-10,Jornada 5,9/27/2009,Mallorca,3,0,Valladolid
09-10,Jornada 5,9/27/2009,Osasuna,1,0,Sporting de Gijón
09-10,Jornada 5,9/27/2009,Real Zaragoza,3,0,Getafe
09-10,Jornada 5,9/26/2009,Valencia,2,2,Atlético de Madrid
09-10,Jornada 5,9/27/2009,Almería,2,2,Racing de Santander
09-10,Jornada 5,9/26/2009,Málaga,0,2,Barcelona
09-10,Jornada 6,10/4/2009,Xerez,1,1,Málaga
09-10,Jornada 6,10/4/2009,Villarreal,0,0,Espanyol
09-10,Jornada 6,10/3/2009,Tenerife,0,1,Deportivo de La Coruña
09-10,Jornada 6,10/4/2009,Sevilla,2,1,Real Madrid
09-10,Jornada 6,10/4/2009,Valladolid,2,2,Athletic Club
09-10,Jornada 6,10/4/2009,Sporting de Gijón,4,1,Mallorca
09-10,Jornada 6,10/4/2009,Getafe,2,1,Osasuna
09-10,Jornada 6,10/3/2009,Atlético de Madrid,2,1,Real Zaragoza
09-10,Jornada 6,10/4/2009,Racing de Santander,0,1,Valencia
09-10,Jornada 6,10/3/2009,Barcelona,1,0,Almería
09-10,Jornada 7,10/18/2009,Xerez,2,1,Villarreal
09-10,Jornada 7,10/18/2009,Espanyol,2,1,Tenerife
09-10,Jornada 7,10/17/2009,Deportivo de La Coruña,1,0,Sevilla
09-10,Jornada 7,10/17/2009,Real Madrid,4,2,Valladolid
09-10,Jornada 7,10/18/2009,Athletic Club,1,2,Sporting de Gijón
09-10,Jornada 7,10/18/2009,Mallorca,3,1,Getafe
09-10,Jornada 7,10/18/2009,Osasuna,3,0,Atlético de Madrid
09-10,Jornada 7,10/18/2009,Real Zaragoza,2,2,Racing de Santander
09-10,Jornada 7,10/17/2009,Valencia,0,0,Barcelona
09-10,Jornada 7,10/18/2009,Málaga,1,2,Almería
09-10,Jornada 8,10/24/2009,Sevilla,0,0,Espanyol
09-10,Jornada 8,10/25/2009,Valladolid,4,0,Deportivo de La Coruña
09-10,Jornada 8,10/24/2009,Sporting de Gijón,0,0,Real Madrid
09-10,Jornada 8,10/25/2009,Getafe,2,0,Athletic Club
09-10,Jornada 8,10/24/2009,Atlético de Madrid,1,1,Mallorca
09-10,Jornada 8,10/25/2009,Racing de Santander,1,1,Osasuna
09-10,Jornada 8,10/25/2009,Barcelona,6,1,Real Zaragoza
09-10,Jornada 8,10/25/2009,Almería,0,3,Valencia
09-10,Jornada 8,10/25/2009,Tenerife,1,0,Xerez
09-10,Jornada 8,10/25/2009,Villarreal,2,1,Málaga
09-10,Jornada 9,11/1/2009,Real Zaragoza,2,1,Almería
09-10,Jornada 9,11/1/2009,Málaga,0,1,Valencia
09-10,Jornada 9,11/1/2009,Villarreal,5,0,Tenerife
09-10,Jornada 9,10/31/2009,Xerez,0,2,Sevilla
09-10,Jornada 9,11/1/2009,Espanyol,1,1,Valladolid
09-10,Jornada 9,11/1/2009,Deportivo de La Coruña,1,1,Sporting de Gijón
09-10,Jornada 9,10/31/2009,Real Madrid,2,0,Getafe
09-10,Jornada 9,10/31/2009,Athletic Club,1,0,Atlético de Madrid
09-10,Jornada 9,11/1/2009,Mallorca,1,0,Racing de Santander
09-10,Jornada 9,10/31/2009,Osasuna,1,1,Barcelona
09-10,Jornada 10,11/7/2009,Barcelona,4,2,Mallorca
09-10,Jornada 10,11/8/2009,Almería,2,0,Osasuna
09-10,Jornada 10,11/8/2009,Valencia,3,1,Real Zaragoza
09-10,Jornada 10,11/7/2009,Tenerife,2,2,Málaga
09-10,Jornada 10,11/8/2009,Sevilla,3,2,Villarreal
09-10,Jornada 10,11/8/2009,Valladolid,0,0,Xerez
09-10,Jornada 10,11/8/2009,Sporting de Gijón,1,0,Espanyol
09-10,Jornada 10,11/7/2009,Getafe,0,2,Deportivo de La Coruña
09-10,Jornada 10,11/7/2009,Atlético de Madrid,2,3,Real Madrid
09-10,Jornada 10,11/8/2009,Racing de Santander,0,2,Athletic Club
09-10,Jornada 11,11/21/2009,Tenerife,1,2,Sevilla
09-10,Jornada 11,11/22/2009,Villarreal,3,1,Valladolid
09-10,Jornada 11,11/22/2009,Xerez,0,0,Sporting de Gijón
09-10,Jornada 11,11/22/2009,Espanyol,0,2,Getafe
09-10,Jornada 11,11/21/2009,Deportivo de La Coruña,2,1,Atlético de Madrid
09-10,Jornada 11,11/21/2009,Real Madrid,1,0,Racing de Santander
09-10,Jornada 11,11/21/2009,Athletic Club,1,1,Barcelona
09-10,Jornada 11,11/22/2009,Mallorca,3,1,Almería
09-10,Jornada 11,11/22/2009,Osasuna,1,3,Valencia
09-10,Jornada 11,11/22/2009,Málaga,1,1,Real Zaragoza
09-10,Jornada 12,11/28/2009,Sevilla,2,2,Málaga
09-10,Jornada 12,11/29/2009,Valladolid,3,3,Tenerife
09-10,Jornada 12,11/28/2009,Sporting de Gijón,1,0,Villarreal
09-10,Jornada 12,11/29/2009,Getafe,5,1,Xerez
09-10,Jornada 12,11/29/2009,Atlético de Madrid,4,0,Espanyol
09-10,Jornada 12,11/29/2009,Racing de Santander,0,1,Deportivo de La Coruña
09-10,Jornada 12,11/29/2009,Barcelona,1,0,Real Madrid
09-10,Jornada 12,11/29/2009,Almería,1,4,Athletic Club
09-10,Jornada 12,11/28/2009,Valencia,1,1,Mallorca
09-10,Jornada 12,11/29/2009,Real Zaragoza,0,1,Osasuna
09-10,Jornada 13,12/5/2009,Sevilla,1,1,Valladolid
09-10,Jornada 13,12/6/2009,Tenerife,2,1,Sporting de Gijón
09-10,Jornada 13,12/6/2009,Villarreal,3,2,Getafe
09-10,Jornada 13,12/5/2009,Xerez,0,2,Atlético de Madrid
09-10,Jornada 13,12/6/2009,Espanyol,0,4,Racing de Santander
09-10,Jornada 13,12/5/2009,Deportivo de La Coruña,1,3,Barcelona
09-10,Jornada 13,12/5/2009,Real Madrid,4,2,Almería
09-10,Jornada 13,12/6/2009,Athletic Club,1,2,Valencia
09-10,Jornada 13,12/6/2009,Mallorca,4,1,Real Zaragoza
09-10,Jornada 13,12/6/2009,Málaga,1,1,Osasuna
09-10,Jornada 14,12/13/2009,Valladolid,1,1,Málaga
09-10,Jornada 14,12/13/2009,Sporting de Gijón,0,1,Sevilla
09-10,Jornada 14,12/13/2009,Getafe,2,1,Tenerife
09-10,Jornada 14,12/13/2009,Atlético de Madrid,1,2,Villarreal
09-10,Jornada 14,12/13/2009,Racing de Santander,3,2,Xerez
09-10,Jornada 14,12/12/2009,Barcelona,1,0,Espanyol
09-10,Jornada 14,12/13/2009,Almería,1,1,Deportivo de La Coruña
09-10,Jornada 14,12/12/2009,Valencia,2,3,Real Madrid
09-10,Jornada 14,12/12/2009,Real Zaragoza,1,2,Athletic Club
09-10,Jornada 14,12/13/2009,Osasuna,0,1,Mallorca
09-10,Jornada 15,12/20/2009,Valladolid,2,1,Sporting de Gijón
09-10,Jornada 15,12/19/2009,Sevilla,1,2,Getafe
09-10,Jornada 15,12/20/2009,Tenerife,1,1,Atlético de Madrid
09-10,Jornada 15,12/20/2009,Villarreal,2,0,Racing de Santander
09-10,Jornada 15,12/2/2009,Xerez,0,2,Barcelona
09-10,Jornada 15,12/20/2009,Espanyol,2,0,Almería
09-10,Jornada 15,12/20/2009,Deportivo de La Coruña,0,0,Valencia
09-10,Jornada 15,12/19/2009,Real Madrid,6,0,Real Zaragoza
09-10,Jornada 15,12/19/2009,Athletic Club,2,0,Osasuna
09-10,Jornada 15,12/20/2009,Málaga,2,1,Mallorca
09-10,Jornada 16,1/3/2010,Sporting de Gijón,2,2,Málaga
09-10,Jornada 16,1/3/2010,Getafe,1,0,Valladolid
09-10,Jornada 16,1/2/2010,Atlético de Madrid,2,1,Sevilla
09-10,Jornada 16,1/3/2010,Racing de Santander,2,0,Tenerife
09-10,Jornada 16,1/2/2010,Barcelona,1,1,Villarreal
09-10,Jornada 16,1/3/2010,Almería,1,0,Xerez
09-10,Jornada 16,1/2/2010,Valencia,1,0,Espanyol
09-10,Jornada 16,1/3/2010,Real Zaragoza,0,0,Deportivo de La Coruña
09-10,Jornada 16,1/3/2010,Osasuna,0,0,Real Madrid
09-10,Jornada 16,1/3/2010,Mallorca,2,0,Athletic Club
09-10,Jornada 17,1/10/2010,Sporting de Gijón,1,0,Getafe
09-10,Jornada 17,1/9/2010,Valladolid,0,4,Atlético de Madrid
09-10,Jornada 17,1/9/2010,Sevilla,1,2,Racing de Santander
09-10,Jornada 17,1/10/2010,Tenerife,0,5,Barcelona
09-10,Jornada 17,1/9/2010,Villarreal,1,1,Almería
09-10,Jornada 17,1/10/2010,Xerez,1,3,Valencia
09-10,Jornada 17,1/10/2010,Espanyol,2,1,Real Zaragoza
09-10,Jornada 17,1/10/2010,Deportivo de La Coruña,1,0,Osasuna
09-10,Jornada 17,1/10/2010,Real Madrid,2,0,Mallorca
09-10,Jornada 17,1/10/2010,Málaga,1,1,Athletic Club
09-10,Jornada 18,1/17/2010,Málaga,1,0,Getafe
09-10,Jornada 18,1/17/2010,Atlético de Madrid,3,2,Sporting de Gijón
09-10,Jornada 18,1/17/2010,Racing de Santander,1,1,Valladolid
09-10,Jornada 18,1/16/2010,Barcelona,4,0,Sevilla
09-10,Jornada 18,1/17/2010,Almería,1,1,Tenerife
09-10,Jornada 18,1/17/2010,Valencia,4,1,Villarreal
09-10,Jornada 18,1/17/2010,Real Zaragoza,0,0,Xerez
09-10,Jornada 18,1/16/2010,Osasuna,2,0,Espanyol
09-10,Jornada 18,1/17/2010,Mallorca,2,0,Deportivo de La Coruña
09-10,Jornada 18,1/16/2010,Athletic Club,1,0,Real Madrid
09-10,Jornada 19,1/24/2010,Getafe,1,0,Atlético de Madrid
09-10,Jornada 19,1/24/2010,Sporting de Gijón,0,1,Racing de Santander
09-10,Jornada 19,1/23/2010,Valladolid,0,3,Barcelona
09-10,Jornada 19,1/23/2010,Sevilla,1,0,Almería
09-10,Jornada 19,1/24/2010,Tenerife,0,0,Valencia
09-10,Jornada 19,1/24/2010,Villarreal,4,2,Real Zaragoza
09-10,Jornada 19,1/24/2010,Xerez,1,2,Osasuna
09-10,Jornada 19,1/24/2010,Espanyol,1,1,Mallorca
09-10,Jornada 19,1/23/2010,Deportivo de La Coruña,3,1,Athletic Club
09-10,Jornada 19,1/24/2010,Real Madrid,2,0,Málaga
09-10,Jornada 20,1/30/2010,Deportivo de La Coruña,1,3,Real Madrid
09-10,Jornada 20,1/30/2010,Sporting de Gijón,0,1,Barcelona
09-10,Jornada 20,1/31/2010,Atlético de Madrid,0,2,Málaga
09-10,Jornada 20,1/31/2010,Sevilla,2,1,Valencia
09-10,Jornada 20,1/31/2010,Xerez,2,1,Mallorca
09-10,Jornada 20,1/31/2010,Valladolid,1,1,Almería
09-10,Jornada 20,1/31/2010,Getafe,0,0,Racing de Santander
09-10,Jornada 20,1/31/2010,Villarreal,0,2,Osasuna
09-10,Jornada 20,1/31/2010,Tenerife,1,3,Real Zaragoza
09-10,Jornada 20,1/30/2010,Espanyol,1,0,Athletic Club
09-10,Jornada 21,2/7/2010,Athletic Club,3,2,Xerez
09-10,Jornada 21,2/7/2010,Málaga,0,0,Deportivo de La Coruña
09-10,Jornada 21,2/6/2010,Real Madrid,3,0,Espanyol
09-10,Jornada 21,2/7/2010,Mallorca,1,0,Villarreal
09-10,Jornada 21,2/7/2010,Osasuna,1,0,Tenerife
09-10,Jornada 21,2/7/2010,Real Zaragoza,2,1,Sevilla
09-10,Jornada 21,2/6/2010,Valencia,2,0,Valladolid
09-10,Jornada 21,2/7/2010,Almería,3,1,Sporting de Gijón
09-10,Jornada 21,2/6/2010,Barcelona,2,1,Getafe
09-10,Jornada 21,2/7/2010,Racing de Santander,1,1,Atlético de Madrid
09-10,Jornada 22,2/14/2010,Espanyol,2,0,Deportivo de La Coruña
09-10,Jornada 22,2/13/2010,Xerez,0,3,Real Madrid
09-10,Jornada 22,2/13/2010,Villarreal,2,1,Athletic Club
09-10,Jornada 22,2/15/2010,Tenerife,1,0,Mallorca
09-10,Jornada 22,2/14/2010,Sevilla,1,0,Osasuna
09-10,Jornada 22,2/14/2010,Valladolid,1,1,Real Zaragoza
09-10,Jornada 22,2/13/2010,Sporting de Gijón,1,1,Valencia
09-10,Jornada 22,2/14/2010,Getafe,2,2,Almería
09-10,Jornada 22,2/14/2010,Atlético de Madrid,2,1,Barcelona
09-10,Jornada 22,2/14/2010,Racing de Santander,0,3,Málaga
09-10,Jornada 23,2/21/2010,Málaga,2,1,Espanyol
09-10,Jornada 23,2/20/2010,Deportivo de La Coruña,2,1,Xerez
09-10,Jornada 23,2/21/2010,Real Madrid,6,2,Villarreal
09-10,Jornada 23,2/21/2010,Athletic Club,4,1,Tenerife
09-10,Jornada 23,2/20/2010,Mallorca,1,3,Sevilla
09-10,Jornada 23,2/21/2010,Osasuna,1,1,Valladolid
09-10,Jornada 23,2/21/2010,Real Zaragoza,1,3,Sporting de Gijón
09-10,Jornada 23,2/22/2010,Valencia,2,1,Getafe
09-10,Jornada 23,2/21/2010,Almería,1,0,Atlético de Madrid
09-10,Jornada 23,2/20/2010,Barcelona,4,0,Racing de Santander
09-10,Jornada 24,2/28/2010,Xerez,1,1,Espanyol
09-10,Jornada 24,2/28/2010,Villarreal,1,0,Deportivo de La Coruña
09-10,Jornada 24,2/27/2010,Tenerife,1,5,Real Madrid
09-10,Jornada 24,2/28/2010,Sevilla,0,0,Athletic Club
09-10,Jornada 24,2/28/2010,Valladolid,1,2,Mallorca
09-10,Jornada 24,2/28/2010,Sporting de Gijón,3,2,Osasuna
09-10,Jornada 24,2/27/2010,Getafe,0,2,Real Zaragoza
09-10,Jornada 24,2/28/2010,Atlético de Madrid,4,1,Valencia
09-10,Jornada 24,2/28/2010,Racing de Santander,0,2,Almería
09-10,Jornada 24,2/27/2010,Barcelona,2,1,Málaga
09-10,Jornada 25,3/7/2010,Málaga,2,4,Xerez
09-10,Jornada 25,3/7/2010,Espanyol,0,0,Villarreal
09-10,Jornada 25,3/6/2010,Deportivo de La Coruña,3,1,Tenerife
09-10,Jornada 25,3/6/2010,Real Madrid,3,2,Sevilla
09-10,Jornada 25,3/7/2010,Athletic Club,2,0,Valladolid
09-10,Jornada 25,3/7/2010,Mallorca,3,0,Sporting de Gijón
09-10,Jornada 25,3/7/2010,Osasuna,0,0,Getafe
09-10,Jornada 25,3/7/2010,Real Zaragoza,1,1,Atlético de Madrid
09-10,Jornada 25,3/8/2010,Valencia,0,0,Racing de Santander
09-10,Jornada 25,3/6/2010,Almería,2,2,Barcelona
09-10,Jornada 26,3/14/2010,Villarreal,2,0,Xerez
09-10,Jornada 26,3/14/2010,Tenerife,4,1,Espanyol
09-10,Jornada 26,3/13/2010,Sevilla,1,1,Deportivo de La Coruña
09-10,Jornada 26,3/14/2010,Valladolid,1,4,Real Madrid
09-10,Jornada 26,3/13/2010,Sporting de Gijón,0,0,Athletic Club
09-10,Jornada 26,3/13/2010,Getafe,3,0,Mallorca
09-10,Jornada 26,3/15/2010,Atlético de Madrid,1,0,Osasuna
09-10,Jornada 26,3/14/2010,Racing de Santander,0,0,Real Zaragoza
09-10,Jornada 26,3/14/2010,Barcelona,3,0,Valencia
09-10,Jornada 26,3/14/2010,Almería,1,0,Málaga
09-10,Jornada 27,3/20/2010,Espanyol,2,0,Sevilla
09-10,Jornada 27,3/20/2010,Deportivo de La Coruña,0,2,Valladolid
09-10,Jornada 27,3/20/2010,Real Madrid,3,1,Sporting de Gijón
09-10,Jornada 27,3/20/2010,Athletic Club,2,2,Getafe
09-10,Jornada 27,3/21/2010,Mallorca,4,1,Atlético de Madrid
09-10,Jornada 27,3/21/2010,Osasuna,1,3,Racing de Santander
09-10,Jornada 27,3/21/2010,Real Zaragoza,2,4,Barcelona
09-10,Jornada 27,3/21/2010,Valencia,2,0,Almería
09-10,Jornada 27,3/20/2010,Xerez,2,1,Tenerife
09-10,Jornada 27,3/21/2010,Málaga,2,0,Villarreal
09-10,Jornada 28,3/24/2010,Almería,1,0,Real Zaragoza
09-10,Jornada 28,3/24/2010,Valencia,1,0,Málaga
09-10,Jornada 28,3/24/2010,Tenerife,2,2,Villarreal
09-10,Jornada 28,3/23/2010,Sevilla,1,1,Xerez
09-10,Jornada 28,3/24/2010,Valladolid,0,0,Espanyol
09-10,Jornada 28,3/23/2010,Sporting de Gijón,2,1,Deportivo de La Coruña
09-10,Jornada 28,3/25/2010,Getafe,2,4,Real Madrid
09-10,Jornada 28,3/25/2010,Atlético de Madrid,2,0,Athletic Club
09-10,Jornada 28,3/24/2010,Racing de Santander,0,0,Mallorca
09-10,Jornada 28,3/24/2010,Barcelona,2,0,Osasuna
09-10,Jornada 29,3/27/2010,Mallorca,0,1,Barcelona
09-10,Jornada 29,3/28/2010,Osasuna,1,0,Almería
09-10,Jornada 29,3/27/2010,Real Zaragoza,3,0,Valencia
09-10,Jornada 29,3/27/2010,Málaga,1,1,Tenerife
09-10,Jornada 29,3/28/2010,Villarreal,3,0,Sevilla
09-10,Jornada 29,3/28/2010,Xerez,3,0,Valladolid
